Date,Source,Site ID,Daily_Mean_PM25_Concentration,UNITS,DAILY_AQI,Site_Name,PERCENT_COMPLETE,AQS_PARAMETER_DESC,STATE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
10-Sep-2000,AQS,360610010,28.4,ug/m3 LC,85,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
11-Sep-2000,AQS,360610010,35.5,ug/m3 LC,101,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
12-Sep-2000,AQS,360610056,21.7,ug/m3 LC,71,PS 59,100,PM2.5 - Local Conditions,New York,New York,40.75912,-73.96661
13-Sep-2000,AQS,360610010,9.8,ug/m3 LC,41,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
14-Sep-2000,AQS,360610010,12.9,ug/m3 LC,53,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
15-Sep-2000,AQS,360610056,15.3,ug/m3 LC,58,PS 59,100,PM2.5 - Local Conditions,New York,New York,40.75912,-73.96661
16-Sep-2000,AQS,360610010,5.7,ug/m3 LC,24,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
17-Sep-2000,AQS,360610010,10,ug/m3 LC,42,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
18-Sep-2000,AQS,360610056,20,ug/m3 LC,68,PS 59,100,PM2.5 - Local Conditions,New York,New York,40.75912,-73.96661
19-Sep-2000,AQS,360610010,19.3,ug/m3 LC,66,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
21-Sep-2000,AQS,360610056,21.3,ug/m3 LC,70,PS 59,100,PM2.5 - Local Conditions,New York,New York,40.75912,-73.96661
22-Sep-2000,AQS,360610010,8.9,ug/m3 LC,37,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
23-Sep-2000,AQS,360610010,13.6,ug/m3 LC,54,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
24-Sep-2000,AQS,360610056,12.7,ug/m3 LC,52,PS 59,100,PM2.5 - Local Conditions,New York,New York,40.75912,-73.96661
25-Sep-2000,AQS,360610010,5.5,ug/m3 LC,23,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
26-Sep-2000,AQS,360610010,6.8,ug/m3 LC,28,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
27-Sep-2000,AQS,360610056,15,ug/m3 LC,57,PS 59,100,PM2.5 - Local Conditions,New York,New York,40.75912,-73.96661
28-Sep-2000,AQS,360610010,13.9,ug/m3 LC,55,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
29-Sep-2000,AQS,360610010,8.7,ug/m3 LC,36,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
30-Sep-2000,AQS,360610010,11.6,ug/m3 LC,48,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
1-Oct-2000,AQS,360610010,11.2,ug/m3 LC,47,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
2-Oct-2000,AQS,360610010,21.4,ug/m3 LC,71,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
3-Oct-2000,AQS,360610056,32.6,ug/m3 LC,94,PS 59,100,PM2.5 - Local Conditions,New York,New York,40.75912,-73.96661
4-Oct-2000,AQS,360610010,23.7,ug/m3 LC,75,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
5-Oct-2000,AQS,360610010,13.1,ug/m3 LC,53,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
6-Oct-2000,AQS,360610056,30.2,ug/m3 LC,89,PS 59,100,PM2.5 - Local Conditions,New York,New York,40.75912,-73.96661
7-Oct-2000,AQS,360610010,6.9,ug/m3 LC,29,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
8-Oct-2000,AQS,360610010,5.9,ug/m3 LC,25,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
9-Oct-2000,AQS,360610056,7,ug/m3 LC,29,PS 59,100,PM2.5 - Local Conditions,New York,New York,40.75912,-73.96661
10-Oct-2000,AQS,360610010,10,ug/m3 LC,42,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
11-Oct-2000,AQS,360610010,13.7,ug/m3 LC,54,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
12-Oct-2000,AQS,360610010,19.4,ug/m3 LC,66,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
13-Oct-2000,AQS,360610010,18.9,ug/m3 LC,65,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
14-Oct-2000,AQS,360610010,26,ug/m3 LC,80,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
